19834, 31817, 31817, 30314, 17086, 5574, 3250, 3926, 2170, 6418, 8494, 10286, 12174, 14266, 12706, 11114, 6146, 6898, 1258, -5270, -15326, -27374, 31818, -30598, -19550, -7242, 650, 4446, 6278, 4254, 2698, 1902, 856, 16328, 12188, 21620, 17892, 23816, 19244, 16036, 17240, 17720, 17624, 16964, 16232, 15232, 10556, 15940, 17272, 17496, 16056, 21816, 18552, 26260, 18408, 21916, 18964, 14024, 19768, 21484, 16140, 13112, 17212, 17100, -516, -2472, -684, 1160, 2488, 2224, 3340, 5196, 3868, 2660, 3628, 2684, 2164, 1872, 1100, 480, 260, -4224, -6776, -7308, -9296, -8496, -1864, 1844, 3304, 2192, 1732, -140, -624, 92, 1660, 432
21570, 31817, 31817, 31817, 22746, 8282, 346, -2466, -946, 1930, 7010, 9318, 9434, 12506, 12630, 8882, 6422, 3510, 106, -5086, -8742, -12130, -15462, -18978, -17998, -17930, -16034, -8498, -2090, 2786, 5162, 4550, 15164, 8752, 32467, 27292, 20600, 13472, 9184, 10308, 17012, 16720, 16500, 18864, 17400, 14704, 15028, 18060, 17968, 16856, 19892, 19284, 15580, 12508, 16968, 17312, 15520, 19668, 19456, 15416, 15376, 15996, 14084, 14528, 9692, 7772, 3912, -7908, -7356, 212, 5560, 6900, 4424, -188, -412, -688, 452, 604, -392, -504, -1220, -3484, -2964, -2536, -1912, -1644, 556, 1096, 636, 852, 2808, 2716, 2876, 2036, 356, -344
31817, 31817, 31817, 21522, 6938, 6826, 5434, 2042, 958, 2894, 4290, 6238, 8694, 6078, 7094, 10998, 13430, 10934, 7634, 9026, 538, -3498, -9822, -16462, -22054, -24662, -19734, -17886, -13870, -8750, -3618, -78, 32467, 29324, 11024, 12504, 13616, 4420, 8460, 16972, 14188, 15532, 16836, 16768, 15652, 15640, 20308, 12424, 12212, 17280, 22148, 18628, 19144, 24352, 25804, 14492, 17596, 22020, 16184, 18840, 21168, 18432, 15140, 14860, -240, -9324, -5900, -2384, 3872, 7432, 8980, 8156, 6508, 5876, 5632, 5720, 3576, 5112, 6428, 2556, -448, -908, -1244, -6724, -4972, -5272, -7088, -6900, -800, 6760, 8564, 7820, 7068, 6288, 5624, 3636
-25334, 31818, 31818, 31818, 31818, 16734, 31817, 31817, 30622, 11526, 2022, -1634, 3194, 1746, 474, 454, 4438, 8802, 7354, 6530, 10482, 11530, 9542, 8438, 5770, 5378, 962, -3630, -5062, -8038, -10874, -10170, 21060, 16580, 19172, 2408, 21252, 22312, 32467, 32467, 6976, -18308, -8684, 6472, 17092, 18812, 16772, 14832, 12296, 14204, 15848, 15824, 13548, 15324, 19736, 16952, 9412, 19020, 20140, 17768, 19444, 23120, 22196, 24072, 196, 11432, 31896, 32767, 12852, -16432, -8020, -32768, -6236, 16192, 22688, 8452, 2612, 7476, 6456, 8316, 7364, 4032, 2764, 3044, 2168, 832, 1808, 3784, 1896, 1784, 2720, 1808, -900, 112, 460, 176
31817, 31817, 13146, 13074, 2178, 2906, 1622, 7358, 9382, 8682, 10582, 14190, 15230, 15082, 11554, 8826, 7370, 6258, 4674, 1942, 2, -2626, -7226, -10458, -12786, -13886, -13222, -11174, -7354, -3134, 1890, 5634, 32467, 6064, 15256, 284, 1728, 10340, 12088, 15640, 13960, 13692, 12364, 11004, 12632, 15372, 11408, 12840, 16476, 18512, 20912, 23712, 30856, 27432, 22236, 23108, 22428, 16876, 14644, 14440, 12832, 14944, 20656, 22856, -4436, -13948, -4844, 2840, 8936, 10652, 10404, 6460, 3104, 3192, 4912, 3392, -464, -1800, 1484, 1728, -116, -1904, -3000, -4228, -4844, -4072, -3220, -3612, -2052, -776, 852, 3752, 3224, 2588, 2356, 2300
31818, -27210, 11902, 31817, 31817, 31817, 19070, 29510, 22306, 12018, 14306, 18886, 17114, 17594, 14834, 9558, 3278, 70, -7862, -14674, -17538, -26602, -21814, -18070, -8730, -1974, 2950, 4662, 2638, 1962, 650, -186, 32467, 20612, 18560, -16016, 3808, 12600, 21044, 9992, 172, 3556, 9904, 15436, 14480, 14828, 16796, 16680, 7016, 19384, 16972, 17784, 19056, 25716, 6072, 18520, 18808, 10076, 22500, 21400, 14400, 14576, 14852, 12868, 9880, 5736, 260, -7532, -16336, -15416, -11020, 1512, 8368, 8400, 3568, 2192, 1880, 620, -716, -1268, -2080, -3192, -6352, -6184, -5968, -3124, -1936, 3560, 2708, 272, -16, -1924, -2240, -320, -404, -256
31817, 31817, 13094, -3950, 2286, 6910, 8050, 7742, 8454, 9426, 9094, 7198, 9590, 11354, 9210, 9478, 6166, 1370, -2462, -8218, -14622, -15962, -19990, -20106, -11690, -3254, 1482, 6714, 7118, 2658, 2442, 1102, 32467, 32467, 8276, 1164, 8280, 18324, 14704, 14032, 11148, 15000, 13032, 17260, 17832, 19072, 20960, 18392, 20792, 17472, 16456, 20836, 15992, 17508, 25976, 22524, 14272, 15516, 15816, 14712, 17532, 16448, 15104, 15352, -16872, -15976, 5776, 7820, 3156, -88, 196, 1856, 252, 1732, 2792, 80, -348, -1344, -3276, -4944, -3064, -3444, -3800, -2292, -4028, -6480, -7336, -4684, -3368, -2188, -1780, -2336, -1908, 136, -308, -508
20162, 31817, 31817, 31817, 10690, 6858, 4710, 5782, 4386, 5938, 6850, 6274, 6198, 6894, 8214, 6938, 7234, 7142, 5642, 2262, 1358, 1502, -6, -5234, -3286, -20506, 31818, -27538, -9298, -4234, 146, 5130, -10008, 32467, 24152, 24684, 16592, 7556, 10448, 14656, 15848, 16944, 13120, 12224, 14256, 14904, 15744, 18332, 17436, 15188, 16944, 19556, 13928, 13932, 18784, 13260, 18556, 12880, 27432, 21368, 9748, 21660, 23972, 16640, 5544, -5436, -13752, -11240, -4244, 3824, 6688, 2264, 168, 2168, 3136, 2136, 1236, -632, -1312, -592, -780, -944, -2332, 36, -756, -2668, -5172, 964, -11976, -13416, -4204, -2464, -4136, -1480, -20, -2624
-9010, 31817, 31817, 31817, -7942, 21290, 5634, 170, 1210, 1938, 1726, 3366, 6098, 5346, 8282, 11062, 10906, 6446, 4942, 2558, -462, -4942, -6626, -7942, -12830, -15622, -15402, -14882, -13762, -10622, -6462, -3194, -20276, -2660, 5484, 32467, 28024, 9548, 6480, 7260, 13068, 19744, 17836, 15176, 16880, 15212, 17260, 16988, 13872, 12532, 17084, 13424, 13804, 18748, 21600, 19764, 16676, 18596, 22532, 18132, 15224, 18208, 20740, 18692, 8308, -19024, -13232, -14884, -18356, -3664, 10588, 5452, 2840, 2840, 1988, 3412, 1408, 796, 224, -280, -492, 856, 960, 528, 940, -16, 628, -260, 708, 400, 192, 652, 944, 1136, 424, 832
-28806, 2830, 31817, 31817, 27302, 12722, -250, -1970, 1746, 3514, 1898, 1354, 1586, -558, 1214, 4266, 6238, 6558, 5298, 5454, 4510, 3062, 2390, 622, -2546, -6082, -9778, -14794, -14138, -12294, -11258, -9282, -12952, -1776, -1044, 30164, 32467, 23476, 10612, 3588, 15796, 24936, 21804, 17324, 18804, 17868, 18232, 15864, 16908, 17996, 19124, 13536, 11500, 9892, 13564, 14768, 16452, 19372, 23376, 20628, 20372, 19744, 18076, 13980, 20304, 1196, -7916, -16588, -13440, 68, 6708, 6660, 2780, 3432, 4304, 4300, 4628, 3824, 3364, 2404, 1616, 1204, 648, -532, 172, 528, 1076, 592, 172, -1900, -2676, 48, 1804, 1432, 1180, -372
